n_Name	Name	SpType	Teff	e_Teff	log(g)	e_log(g)	[Fe/H]	e_[Fe/H]	r_[Fe/H]	SimbadName	_RA	_DE
 	 	 	K	K	[cm/s2]	[cm/s2]	[Sun]	[Sun]	 	 	deg	deg
-	----------	------------	-----	----	-----	-----	-----	-----	--	----------	---------	---------
 	HD022484  	F9IV-V      	 5999	  27	 4.09	 0.05	-0.08	 0.04	0 	HD022484  	054.21826	+00.40166
 	HD023183  	G8III       	 4866	  25	 2.51	 0.07	-0.28	 0.06	0 	HD023183  	055.94672	+19.66503
 	HD023249  	K0IV        	 5053	  25	 3.79	 0.06	 0.09	 0.05	0 	HD023249  	055.81209	-09.76339
 	HD023841  	K1III       	 4338	  19	 2.23	 0.09	-0.56	 0.06	0 	HD023841  	057.12820	+09.64595
 	HD024398  	B1Iab:      	24163	2079	 3.27	 0.12	-0.08	 0.07	0 	HD024398  	058.53301	+31.88364
 	HD024421  	F5          	 6117	  48	 4.17	 0.08	-0.35	 0.08	0 	HD024421  	058.90450	+52.22682
 	HD024760  	B0.5V+...   	26405	1549	 3.85	 0.13	-0.09	 0.10	0 	HD024760  	059.46346	+40.01021
 	HD025173  	F8V         	 6018	  36	 4.07	 0.06	-0.55	 0.06	0 	HD025173  	061.85010	+75.17504
O	HD025291  	F0II        	 7761	    	 2.49	     	 0.14	     	4 	HD025291  	061.11317	+59.15551
 	HD025329  	K1V...      	 4840	    	 4.85	     	-1.68	     	2 	HD025329  	060.81250	+35.27328
 	HD025457  	F5V         	 6228	  44	 4.29	 0.07	 0.04	 0.06	0 	HD025457  	060.65310	-00.26892
 	HD025604  	K0III       	 4795	  21	 2.65	 0.06	 0.06	 0.05	0 	HD025604  	061.17381	+22.08193
 	HD025621  	F6IV        	 6251	  29	 3.98	 0.05	 0.05	 0.04	0 	HD025621  	061.04115	+02.82695
 	HD025642  	A0IVn       	10585	 166	 4.05	 0.07	 0.01	 0.10	0 	HD025642  	061.64601	+50.35126
 	HD025940  	B3Ve        	16827	 427	 3.94	 0.08	-0.04	 0.08	0 	HD025940  	062.16538	+47.71251
 	HD025975  	K1III       	 4986	  23	 3.47	 0.06	 0.05	 0.05	0 	HD025975  	062.06412	+37.72749
 	HD026297  	G5/G6IVw    	 4468	  25	 1.01	 0.09	-1.82	 0.07	0 	HD026297  	062.26424	-15.89085
 	HD026574  	F2II-III    	 7132	  42	 3.70	 0.06	 0.21	 0.05	0 	HD026574  	062.96642	-06.83758
O	HD026965  	K1V         	 5108	  26	 4.49	 0.05	-0.29	 0.05	0 	HD026965  	063.81800	-07.65287
 	HD027022  	G5IIb       	 5321	  29	 2.91	 0.07	-0.05	 0.06	0 	HD027022  	065.16802	+65.14044
O	HD027295  	B9IV        	11956	    	 3.92	     	-0.95	     	2 	HD027295  	064.85874	+21.14231
 	HD027348  	G8III       	 5045	  24	 2.88	 0.06	 0.04	 0.05	0 	HD027348  	065.10266	+34.56673
 	HD027371  	K0III       	 5016	  25	 2.84	 0.06	 0.15	 0.05	0 	HD027371  	064.94835	+15.62764
 	HD027382  	K1III       	 4501	  19	 2.28	 0.07	-0.36	 0.05	0 	HD027382  	065.08840	+27.35075
 	HD027697  	K0III       	 5023	  26	 2.83	 0.07	 0.15	 0.06	0 	HD027697  	065.73372	+17.54251
 	HD027971  	K1III       	 4979	  25	 2.90	 0.06	 0.10	 0.05	0 	HD027971  	066.52629	+31.43891
 	HD028099  	G2V         	 5815	  31	 4.47	 0.06	 0.21	 0.05	0 	HD028099  	066.66717	+16.74690
 	HD028100  	G7IIIa      	 4986	  25	 2.38	 0.07	-0.17	 0.06	0 	HD028100  	066.65155	+14.71378
 	HD028292  	K2III       	 4557	  19	 2.66	 0.07	-0.09	 0.04	0 	HD028292  	067.10988	+16.35967
 	HD028305  	G9.5III     	 4978	  27	 2.77	 0.07	 0.20	 0.06	0 	HD028305  	067.15416	+19.18043
 	HD028307  	K0IIIb      	 5078	  28	 2.97	 0.07	 0.18	 0.06	0 	HD028307  	067.14373	+15.96218
 	HD028527  	A6IV        	 7757	  58	 3.85	 0.06	 0.13	 0.05	0 	HD028527  	067.64014	+16.19401
 	HD028978  	A2Vs        	 8910	  83	 3.13	 0.09	-0.26	 0.08	0 	HD028978  	068.53445	+05.56862
O	HD029139  	K5III       	 3863	   8	 1.73	 0.10	-0.04	 0.04	0 	HD029139  	068.98016	+16.50930
 	HD029574  	G8/K0IIIw...	 4306	  34	 0.58	 0.12	-1.90	 0.07	0 	HD029574  	069.73222	-13.34670
 	HD029613  	K0III       	 4682	  21	 2.78	 0.07	-0.24	 0.05	0 	HD029613  	069.83213	-14.35919
 	HD029645  	G0V         	 5989	  32	 4.03	 0.06	 0.11	 0.05	0 	HD029645  	070.45940	+38.28018
 	HD029763  	B3V         	10073	 198	 2.60	 0.07	-0.51	 0.16	0 	HD029763  	070.56126	+22.95693
 	HD030562  	F8V         	 5839	  28	 4.03	 0.06	 0.20	 0.04	0 	HD030562  	072.15161	-05.67404
 	HD030614  	O9.5Iae     	32591	 806	 3.17	 0.04	-0.10	 0.05	0 	HD030614  	073.51255	+66.34268
 	HD030652  	F6V         	 6419	  29	 4.20	 0.04	-0.02	 0.04	0 	HD030652  	072.46004	+06.96128
 	HD030739  	A1Vn        	 9457	 128	 4.00	 0.05	-0.20	 0.10	0 	HD030739  	072.65301	+08.90018
 	HD030743  	F3/F5V      	 6372	  30	 4.18	 0.04	-0.41	 0.04	0 	HD030743  	072.42602	-13.76967
 	HD030812  	K1III       	 4746	  26	 2.58	 0.08	-0.08	 0.06	0 	HD030812  	072.70570	-00.09497
 	HD030814  	K0III       	 4926	  24	 2.75	 0.07	 0.03	 0.05	0 	HD030814  	072.54840	-16.21716
