n_Name	Name	SpType	Teff	e_Teff	log(g)	e_log(g)	[Fe/H]	e_[Fe/H]	r_[Fe/H]	SimbadName	_RA	_DE
 	 	 	K	K	[cm/s2]	[cm/s2]	[Sun]	[Sun]	 	 	deg	deg
-	----------	------------	-----	----	-----	-----	-----	-----	--	----------	---------	---------
 	HD134474  	G5          	 5341	  26	 4.59	 0.05	 0.22	 0.05	0 	HD134474  	227.24475	+37.31856
 	HD135148  	K0          	 4361	  30	 0.72	 0.10	-1.85	 0.07	0 	HD135148  	228.32273	+12.45709
 	HD135722  	G8III       	 4915	  30	 2.61	 0.09	-0.42	 0.07	0 	HD135722  	228.87568	+33.31483
 	HD135742  	B8V         	12946	 449	 4.12	 0.16	 0.33	 0.17	0 	HD135742  	229.25173	-09.38292
 	HD136064  	F9IV        	 6124	  34	 4.02	 0.06	 0.02	 0.05	0 	HD136064  	228.65975	+67.34672
 	HD136202  	F8III-IV    	 6132	  33	 3.99	 0.06	 0.02	 0.05	0 	HD136202  	229.82832	+01.76541
 	HD136479  	K1III       	 4957	  34	 2.93	 0.09	 0.25	 0.07	0 	HD136479  	230.28171	-05.82485
 	HD136512  	K0III       	 4821	  25	 2.54	 0.08	-0.27	 0.06	0 	HD136512  	230.03566	+29.61621
 	HD136726  	K4III       	 4204	  20	 1.99	 0.13	-0.01	 0.06	0 	HD136726  	229.27454	+71.82390
 	HD136729  	A4V         	 8247	  63	 3.93	 0.07	-0.30	 0.08	0 	HD136729  	230.02146	+51.95851
 	HD137052  	F5IV        	 6477	  31	 4.02	 0.04	-0.04	 0.04	0 	HD137052  	231.04954	-10.32227
O	HD137510  	G0IV-V      	 5886	  30	 3.89	 0.06	 0.29	 0.04	0 	HD137510  	231.47196	+19.48071
O	HD137759  	K2III       	 4525	  22	 2.63	 0.08	 0.11	 0.05	0 	HD137759  	231.23239	+58.96607
 	HD138279  	F5          	 6172	  64	 4.06	 0.09	-1.35	 0.15	0 	HD138279  	232.75803	+01.68382
 	HD138481  	K5III       	 3905	  12	 1.22	 0.12	-0.01	 0.04	0 	HD138481  	232.73233	+40.83305
 	HD138716  	K1IV        	 4779	  47	 3.14	 0.14	-0.09	 0.10	0 	HD138716  	233.54459	-10.06453
 	HD138776  	K0          	 5584	  38	 4.06	 0.08	 0.36	 0.06	0 	HD138776  	233.57050	-02.72407
 	HD138905  	K0III       	 4783	  45	 2.42	 0.14	-0.40	 0.11	0 	HD138905  	233.88158	-14.78954
 	HD139195  	K0III:CNs...	 4985	  27	 2.71	 0.07	-0.11	 0.06	0 	HD139195  	234.12325	+10.01018
 	HD139446  	G8III/IV    	 5108	  31	 2.75	 0.08	-0.28	 0.07	0 	HD139446  	234.72733	-19.30189
 	HD139457  	F8V         	 6077	  51	 4.12	 0.09	-0.45	 0.08	0 	HD139457  	234.49672	+10.23988
 	HD139641  	G7.5IIIb    	 5000	  50	 2.94	 0.14	-0.52	 0.11	0 	HD139641  	234.45666	+40.35343
 	HD139669  	K5III       	 3949	  13	 1.50	 0.12	 0.16	 0.04	0 	HD139669  	232.85387	+77.34935
 	HD140027  	G8III       	 5136	  34	 2.70	 0.09	-0.11	 0.08	0 	HD140027  	235.24625	+16.02459
 	HD140283  	sdF3        	 5798	  52	 3.59	 0.10	-2.18	 0.11	0 	HD140283  	235.76290	-10.93350
 	HD140573  	K2IIIb      	 4592	  24	 2.69	 0.08	 0.25	 0.05	0 	HD140573  	236.06698	+06.42563
 	HD141003  	A2IV        	 8538	  78	 3.75	 0.10	-0.20	 0.10	0 	HD141003  	236.54690	+15.42183
 	HD141004  	G0V         	 5892	  30	 4.19	 0.06	-0.01	 0.05	0 	HD141004  	236.61089	+07.35307
 	HD141680  	G8III       	 4848	  41	 2.59	 0.12	-0.20	 0.10	0 	HD141680  	237.57311	+02.19651
 	HD141714  	G3.5III     	 5317	  31	 3.24	 0.08	-0.23	 0.06	0 	HD141714  	237.39853	+26.06839
 	HD142091  	K1IVa       	 4844	  25	 3.27	 0.07	 0.07	 0.05	0 	HD142091  	237.80805	+35.65738
 	HD142198  	K0III       	 4804	  28	 2.49	 0.09	-0.27	 0.06	0 	HD142198  	238.45641	-16.72929
 	HD142373  	F8Ve...     	 5837	  38	 3.98	 0.08	-0.51	 0.07	0 	HD142373  	238.16892	+42.45152
 	HD142860  	F6IV        	 6274	  30	 4.15	 0.05	-0.19	 0.04	0 	HD142860  	239.11326	+15.66162
 	HD142980  	K1IV        	 4493	  22	 2.65	 0.09	 0.01	 0.05	0 	HD142980  	239.31072	+14.41448
 	HD143107  	K2III       	 4397	  20	 2.09	 0.09	-0.18	 0.05	0 	HD143107  	239.39688	+26.87788
 	HD143393  	K2III       	 4599	  24	 2.68	 0.09	-0.07	 0.05	0 	HD143393  	239.77464	+29.43158
 	HD143666  	G8IIIb      	 4897	  29	 2.61	 0.08	-0.19	 0.07	0 	HD143666  	240.30966	+17.81840
 	HD143761  	G0Va        	 5799	  29	 4.19	 0.06	-0.26	 0.05	0 	HD143761  	240.26109	+33.30351
 	HD144172  	F8          	 6346	  28	 4.13	 0.04	-0.45	 0.04	0 	HD144172  	241.12330	+00.67222
 	HD144585  	G5V         	 5765	  30	 4.10	 0.06	 0.28	 0.04	0 	HD144585  	241.76404	-14.07129
 	HD145328  	K1III-IV    	 4808	  23	 3.08	 0.07	-0.07	 0.05	0 	HD145328  	242.24291	+36.49094
 	HD145502  	B2IV        	19251	 350	 3.80	 0.08	-0.02	 0.05	0 	HD145502  	242.99889	-19.46071
 	HD146051  	M0.5III     	 3770	   7	 1.46	 0.11	-0.04	 0.04	0 	HD146051  	243.58641	-03.69432
 	HD146791  	G9.5IIIb    	 4918	  28	 2.59	 0.08	-0.13	 0.06	0 	HD146791  	244.58037	-04.69251
 	HD147394  	B5IV        	15868	 270	 3.73	 0.05	 0.03	 0.05	0 	HD147394  	244.93515	+46.31337
 	HD147677  	K0III       	 4982	  26	 2.93	 0.07	 0.11	 0.05	0 	HD147677  	245.52427	+30.89200
 	HD147700  	K0III       	 4838	  34	 2.53	 0.12	-0.18	 0.08	0 	HD147700  	246.02577	-20.03733
 	HD148293  	K2III       	 4693	  24	 2.59	 0.07	 0.16	 0.05	0 	HD148293  	245.45296	+69.10939
 	HD148387  	G8IIIb      	 5066	  37	 2.78	 0.10	-0.07	 0.08	0 	HD148387  	245.99786	+61.51421
 	HD148513  	K4III       	 4127	  15	 2.15	 0.11	 0.19	 0.05	0 	HD148513  	247.14159	+00.66500
 	HD148783  	M6III       	 3146	  10	 0.45	 0.18	-1.00	 0.00	0 	HD148783  	247.16062	+41.88168
 	HD148786  	G8/K0III    	 5180	  30	 2.82	 0.07	 0.20	 0.06	0 	HD148786  	247.78487	-16.61273
 	HD149161  	K4III       	 3924	  10	 1.86	 0.11	-0.22	 0.05	0 	HD149161  	248.15122	+11.48804
 	HD149630  	B9V         	10294	 189	 3.99	 0.09	 0.03	 0.12	0 	HD149630  	248.52576	+42.43704
 	HD149661  	K2V         	 5301	  29	 4.64	 0.06	 0.12	 0.05	0 	HD149661  	249.08937	-02.32458
 	HD149750  	G5          	 5783	  37	 4.06	 0.07	 0.16	 0.06	0 	HD149750  	248.81101	+37.02213
 	HD149757  	O9V         	33262	 836	 4.09	 0.08	-0.09	 0.08	0 	HD149757  	249.28974	-10.56709
 	HD150012  	F5IV        	 6628	  33	 3.98	 0.05	 0.13	 0.04	0 	HD150012  	249.45005	+13.68703
 	HD150100  	B9.5Vn      	10271	 127	 3.99	 0.04	-0.33	 0.07	0 	HD150100  	249.04758	+52.90005
 	HD150117  	B9V         	10727	 157	 3.91	 0.08	-0.22	 0.09	0 	HD150117  	249.05583	+52.92389
 	HD150177  	F3V         	 6141	  30	 4.04	 0.05	-0.60	 0.05	0 	HD150177  	249.91304	-09.55459
 	HD150449  	K1III       	 4773	  28	 2.67	 0.09	-0.03	 0.06	0 	HD150449  	249.50194	+56.01554
 	HD150453  	F3V         	 6506	  35	 4.06	 0.05	-0.28	 0.05	0 	HD150453  	250.47371	-19.92438
 	HD150680  	G0IV        	 5780	  35	 3.89	 0.07	 0.09	 0.06	0 	HD150680  	250.32150	+31.60273
 	HD150997  	G7.5IIIb    	 5042	  37	 2.79	 0.10	-0.21	 0.08	0 	HD150997  	250.72402	+38.92225
 	HD151431  	A3V         	 8346	  55	 3.78	 0.07	-0.15	 0.07	0 	HD151431  	251.79064	+02.06453
 	HD151613  	F2V         	 6760	  33	 4.11	 0.04	-0.21	 0.04	0 	HD151613  	251.32424	+56.78186
O	HD151769  	F7IV        	 6417	  37	 3.89	 0.06	 0.13	 0.04	0 	HD151769  	252.45845	-10.78300
 	HD151862  	A1V         	 9272	 126	 3.93	 0.06	-0.14	 0.07	0 	HD151862  	252.39440	+13.26114
 	HD152569  	F0V         	 7303	  34	 3.87	 0.05	 0.22	 0.04	0 	HD152569  	253.54419	-01.61230
 	HD152601  	K2III       	 4719	  25	 2.74	 0.08	 0.11	 0.05	0 	HD152601  	253.64872	-06.15398
 	HD152614  	B8V         	11651	 164	 4.03	 0.07	 0.09	 0.08	0 	HD152614  	253.50196	+10.16536
 	HD152792  	G0V         	 5662	  28	 3.87	 0.06	-0.39	 0.05	0 	HD152792  	253.38470	+42.82486
 	HD152815  	G8III       	 4941	  32	 2.62	 0.09	-0.18	 0.07	0 	HD152815  	253.72988	+20.95849
 	HD153597  	F6Vvar      	 6304	  35	 4.29	 0.05	-0.14	 0.05	0 	HD153597  	254.00704	+65.13480
 	HD153653  	A7V         	 7561	  35	 4.12	 0.04	-0.11	 0.05	0 	HD153653  	255.12248	+06.58371
 	HD153808  	A0V         	 9609	 205	 3.82	 0.12	-0.25	 0.14	0 	HD153808  	255.07239	+30.92640
 	HD154278  	K1III       	 4718	  31	 2.61	 0.10	-0.28	 0.07	0 	HD154278  	255.99184	+13.56742
 	HD154431  	A5V         	 7821	  49	 4.03	 0.05	-0.11	 0.06	0 	HD154431  	255.97324	+34.79022
 	HD154445  	B1V         	22604	 728	 3.78	 0.09	-0.02	 0.05	0 	HD154445  	256.38441	-00.89207
 	HD154543  	K2          	 3576	   7	 1.27	 0.14	-0.03	 0.05	0 	HD154543  	256.49021	+05.03794
 	HD154660  	A9V         	 7663	  33	 3.97	 0.05	-0.18	 0.06	0 	HD154660  	256.72066	-01.65619
 	HD155358  	G0          	 5903	  25	 4.12	 0.05	-0.66	 0.04	0 	HD155358  	257.39424	+33.35585
 	HD155514  	A8V         	 7591	  43	 3.87	 0.05	-0.09	 0.06	0 	HD155514  	257.76318	+24.23769
O	HD155763  	B6III       	14064	 207	 3.79	 0.07	 0.13	 0.07	0 	HD155763  	257.19665	+65.71468
 	HD156164  	A3IV        	     	    	     	     	     	     	  	HD156164  	258.75796	+24.83920
 	HD157089  	F9V         	 5790	  29	 4.05	 0.06	-0.57	 0.05	0 	HD157089  	260.27940	+01.44305
 	HD157198  	A2V         	 9547	 141	 3.89	 0.07	-0.28	 0.08	0 	HD157198  	260.22586	+24.49943
 	HD157214  	G0V         	 5666	  33	 4.21	 0.07	-0.40	 0.06	0 	HD157214  	260.16486	+32.46774
 	HD157373  	F4V         	 6492	  33	 4.19	 0.04	-0.46	 0.05	0 	HD157373  	260.14074	+48.18879
 	HD157466  	F8V         	 6059	  26	 4.30	 0.04	-0.42	 0.04	0 	HD157466  	260.61521	+24.87945
 	HD157740  	A3V         	 8573	  69	 3.42	 0.09	-0.05	 0.06	0 	HD157740  	261.13140	+16.30101
 	HD157741  	B9V         	10999	 174	 3.88	 0.11	-0.19	 0.11	0 	HD157741  	261.14083	+15.60605
 	HD157910  	G5III+...   	 5232	  32	 2.65	 0.08	-0.09	 0.07	0 	HD157910  	261.11298	+36.95193
 	HD158148  	B5V         	15545	 238	 3.81	 0.10	-0.03	 0.09	0 	HD158148  	261.70470	+20.08098
 	HD158261  	A0V         	 9517	 161	 3.64	 0.11	-0.10	 0.10	0 	HD158261  	261.69227	+34.69580
 	HD158352  	A8V         	 7494	  40	 3.85	 0.05	-0.06	 0.05	0 	HD158352  	262.20690	+00.33063
 	HD158414  	A4V         	 8276	  61	 3.81	 0.08	-0.19	 0.08	0 	HD158414  	261.68434	+48.26006
 	HD158485  	A4V         	 8371	  73	 3.96	 0.08	-0.23	 0.09	0 	HD158485  	261.52015	+58.65190
 	HD158614  	G9IV-V...   	 5602	  30	 4.40	 0.06	 0.06	 0.05	0 	HD158614  	262.59915	-01.06291
 	HD158716  	A1V         	 8629	  78	 3.66	 0.08	-0.04	 0.06	0 	HD158716  	262.59439	+11.92402
 	HD158899  	K4III       	 4155	  14	 1.76	 0.09	-0.03	 0.04	0 	HD158899  	262.68462	+26.11065
 	HD159139  	A1V         	 9405	 188	 3.81	 0.10	-0.55	 0.14	0 	HD159139  	262.95659	+28.40750
 	HD159307  	F8          	 6333	  30	 4.13	 0.04	-0.57	 0.05	0 	HD159307  	263.53508	-03.05560
 	HD159332  	F6V         	 6264	  37	 4.00	 0.06	-0.13	 0.05	0 	HD159332  	263.34510	+19.25668
 	HD160054  	A5V         	 7890	  53	 3.92	 0.05	-0.05	 0.06	0 	HD160054  	264.15311	+30.78518
 	HD160315  	K0III+...   	 4980	  29	 2.88	 0.08	 0.10	 0.06	0 	HD160315  	264.78544	+02.02805
 	HD160762  	B3IV        	19109	 383	 3.80	 0.05	-0.04	 0.04	0 	HD160762  	264.86619	+46.00633
 	HD160765  	A1V         	 9235	 162	 3.91	 0.08	-0.40	 0.10	0 	HD160765  	265.29580	+15.17838
 	HD160933  	F9V         	 5869	  36	 3.92	 0.07	-0.28	 0.06	0 	HD160933  	264.16642	+69.57073
 	HD161056  	B1.5V       	21672	1001	 3.62	 0.14	 0.00	 0.09	0 	HD161056  	265.94592	-07.07961
 	HD161096  	K2III       	 4593	  24	 2.69	 0.08	 0.25	 0.05	0 	HD161096  	265.86814	+04.56730
 	HD161693  	A2V         	 9391	 163	 3.80	 0.10	-0.40	 0.11	0 	HD161693  	265.99657	+53.80171
 	HD161797  	G5IV        	 5566	  32	 3.93	 0.07	 0.28	 0.05	0 	HD161797  	266.61470	+27.72068
O	HD161817  	sdA2        	 7631	    	 3.11	     	-1.54	     	2m	HD161817  	266.66929	+25.74915
 	HD161868  	A0V         	 9608	 212	 3.93	 0.09	-0.60	 0.15	0 	HD161868  	266.97317	+02.70728
 	HD162555  	K1III       	 4702	  25	 2.70	 0.08	-0.10	 0.05	0 	HD162555  	267.59539	+29.32214
 	HD162570  	A9V         	 7511	  38	 3.87	 0.05	 0.02	 0.05	0 	HD162570  	267.70160	+22.31633
 	HD163506  	F2Ibe       	 7826	  98	 1.48	 0.08	 0.01	 0.11	0 	HD163506  	268.85495	+26.04999
 	HD163588  	K2III       	 4483	  25	 2.65	 0.10	 0.04	 0.06	0 	HD163588  	268.38221	+56.87264
 	HD163624  	A3V         	 8422	  63	 3.77	 0.07	-0.09	 0.06	0 	HD163624  	269.26798	+00.06666
 	HD163917  	G9III       	 4965	  40	 2.78	 0.10	 0.16	 0.08	0 	HD163917  	269.75663	-09.77362
 	HD163989  	F6IV-Vs     	 6216	  36	 3.94	 0.06	-0.04	 0.05	0 	HD163989  	267.36264	+76.96288
 	HD163993  	G8III       	 5087	  28	 2.91	 0.07	 0.07	 0.06	0 	HD163993  	269.44119	+29.24788
 	HD164136  	F2II        	 6979	  45	 3.80	 0.05	-0.07	 0.05	0 	HD164136  	269.62562	+30.18928
 	HD164259  	F2IV        	 6764	  28	 4.09	 0.03	 0.01	 0.03	0 	HD164259  	270.12088	-03.69027
 	HD164284  	B2Ve        	19706	 635	 3.69	 0.14	 0.00	 0.08	0 	HD164284  	270.06583	+04.36862
 	HD164353  	B5Ib        	18738	 590	 3.03	 0.08	-0.01	 0.06	0 	HD164353  	270.16132	+02.93156
 	HD164577  	A2Vn        	 9479	 169	 4.02	 0.07	-0.14	 0.13	0 	HD164577  	270.43833	+01.30507
 	HD165029  	A0V         	 9581	 178	 3.82	 0.10	-0.51	 0.13	0 	HD165029  	270.81068	+19.61316
 	HD165195  	K3p         	 4398	  30	 0.78	 0.10	-2.21	 0.06	0 	HD165195  	271.16697	+03.77909
O	HD165341  	K0V         	 5232	  24	 4.57	 0.05	 0.07	 0.05	0 	HD165341  	271.36417	+02.49944
 	HD165358  	A2V         	 8948	 114	 3.94	 0.07	-0.25	 0.07	0 	HD165358  	270.78705	+48.46427
 	HD165401  	G0V         	 5766	  28	 4.43	 0.05	-0.44	 0.05	0 	HD165401  	271.40607	+04.65717
 	HD165645  	F0V         	 7294	  38	 3.99	 0.05	 0.02	 0.05	0 	HD165645  	271.25333	+41.94629
 	HD165687  	K0III       	 4667	  23	 2.56	 0.08	-0.02	 0.05	0 	HD165687  	271.95142	-17.15416
 	HD165760  	G8III       	 5029	  26	 2.69	 0.07	 0.03	 0.06	0 	HD165760  	271.82650	+08.73387
 	HD165908  	F7V         	 6013	  31	 4.19	 0.05	-0.56	 0.05	0 	HD165908  	271.75641	+30.56214
 	HD166014  	B9.5V       	10590	 250	 4.17	 0.08	-0.06	 0.15	0 	HD166014  	271.88563	+28.76249
 	HD166046  	A3V         	 8326	 102	 3.99	 0.10	-0.18	 0.12	0 	HD166046  	271.95626	+26.09734
 	HD166161  	G5          	 5064	  56	 2.05	 0.16	-1.44	 0.15	0 	HD166161  	272.41952	-08.77934
 	HD166207  	K0III       	 4806	  30	 2.67	 0.09	 0.02	 0.06	0 	HD166207  	271.72282	+50.82282
 	HD166208  	G8IIICN...  	 5084	  29	 2.71	 0.07	 0.10	 0.06	0 	HD166208  	271.86975	+43.46189
 	HD166229  	K2.5III     	 4572	  20	 2.87	 0.07	 0.16	 0.04	0 	HD166229  	272.00933	+36.40126
 	HD167006  	M3III       	 3518	   5	 1.16	 0.11	-0.14	 0.04	0 	HD167006  	272.97565	+31.40535
 	HD167042  	K1III       	 4959	  23	 3.34	 0.06	-0.01	 0.05	0 	HD167042  	272.63183	+54.28655
 	HD167588  	F8V         	 5945	  32	 4.02	 0.06	-0.32	 0.05	0 	HD167588  	273.68333	+29.20731
O	HD167768  	G3III       	 4945	  28	 2.32	 0.08	-0.72	 0.07	0 	HD167768  	274.22126	-03.00740
 	HD167771  	O8/O9       	37002	 884	 3.59	 0.05	 0.12	 0.05	0 	HD167771  	274.36899	-18.46345
 	HD168009  	G2V         	 5797	  30	 4.26	 0.06	 0.00	 0.05	0 	HD168009  	273.88526	+45.20932
 	HD168092  	F1V         	 7014	  49	 4.07	 0.05	-0.12	 0.06	0 	HD168092  	273.67083	+56.58824
O	HD168151  	F5V         	 6450	  37	 4.18	 0.05	-0.34	 0.05	0 	HD168151  	273.47430	+64.39729
 	HD168199  	B5V         	16479	 318	 3.80	 0.10	-0.04	 0.09	0 	HD168199  	274.51226	+13.77704
 	HD168270  	B9V         	10699	 151	 3.97	 0.06	-0.07	 0.08	0 	HD168270  	274.53214	+18.13169
 	HD168322  	G8.5IIIb    	 4802	  29	 2.49	 0.09	-0.45	 0.07	0 	HD168322  	274.27839	+40.93673
 	HD168656  	G8III       	 5062	  48	 2.71	 0.12	-0.11	 0.11	0 	HD168656  	275.21693	+03.37717
 	HD168720  	M0III       	 3789	   6	 1.56	 0.09	 0.00	 0.03	0 	HD168720  	275.07464	+21.96130
 	HD168723  	K0III-IV    	 4927	  24	 3.01	 0.07	-0.26	 0.05	0 	HD168723  	275.32750	-02.89882
 	HD168775  	K2III       	 4611	  21	 2.43	 0.07	 0.12	 0.05	0 	HD168775  	274.96546	+36.06455
 	HD169191  	K3III       	 4377	  22	 2.15	 0.10	-0.18	 0.06	0 	HD169191  	275.70433	+17.82662
 	HD169305  	M2III       	 3641	   6	 1.12	 0.10	-0.08	 0.04	0 	HD169305  	275.38610	+49.12159
 	HD169414  	K2III       	 4475	  19	 2.62	 0.08	-0.11	 0.04	0 	HD169414  	275.92454	+21.76975
 	HD169578  	B9V         	11551	 199	 4.07	 0.08	 0.07	 0.10	0 	HD169578  	276.28698	+05.08457
 	HD170693  	K1.5III     	 4446	  25	 2.22	 0.10	-0.42	 0.06	0 	HD170693  	276.49641	+65.56348
 	HD171301  	B8IV        	11752	 142	 4.08	 0.04	 0.05	 0.07	0 	HD171301  	278.20816	+30.55421
 	HD171391  	G8III       	 5096	  29	 2.85	 0.07	-0.03	 0.06	0 	HD171391  	278.75997	-10.97721
 	HD171406  	B4Ve        	15278	 270	 3.77	 0.13	-0.05	 0.11	0 	HD171406  	278.34600	+30.89209
 	HD172365  	F8Ib-II     	 5992	  35	 1.37	 0.06	 0.12	 0.06	0 	HD172365  	279.90365	+05.26429
 	HD172569  	F0V         	 7317	  55	 4.02	 0.06	 0.10	 0.06	0 	HD172569  	279.05531	+65.48872
 	HD172816  	M4III       	 3155	  12	 0.14	 0.24	-0.44	 1.35	0 	HD172816  	280.72958	-19.28421
 	HD172958  	B8V         	11251	 199	 3.96	 0.10	-0.05	 0.11	0 	HD172958  	280.42213	+31.61761
 	HD173087  	B5V         	16182	 330	 3.76	 0.08	-0.07	 0.07	0 	HD173087  	280.53370	+34.74631
 	HD173399  	G5IV        	 5082	  27	 3.15	 0.07	-0.26	 0.06	0 	HD173399  	280.73091	+44.92525
 	HD173495  	A1V+...     	 9218	 185	 3.84	 0.10	-0.37	 0.12	0 	HD173495  	281.36819	+05.50013
 	HD173667  	F6V         	 6403	  29	 4.05	 0.04	-0.03	 0.04	0 	HD173667  	281.41552	+20.54631
 	HD173780  	K3III       	 4468	  19	 2.42	 0.08	-0.04	 0.05	0 	HD173780  	281.51867	+26.66213
 	HD173936  	B6V         	14524	 250	 3.81	 0.08	-0.04	 0.08	0 	HD173936  	281.55421	+41.44181
O	HD174959  	B6IV        	14832	 231	 3.75	 0.06	 0.04	 0.06	0 	HD174959  	282.90215	+36.53909
 	HD175156  	B3II        	17271	 454	 3.09	 0.09	 0.07	 0.06	0 	HD175156  	283.67964	-15.60304
 	HD175306  	G9IIIb      	 4470	  26	 1.92	 0.10	-0.48	 0.07	0 	HD175306  	282.80040	+59.38835
O	HD175317  	F5/F6IV/V   	 6479	  48	 4.09	 0.07	 0.01	 0.06	0 	HD175317  	283.87919	-16.37663
 	HD175426  	B2.5V       	17997	 337	 3.81	 0.07	-0.05	 0.06	0 	HD175426  	283.43150	+36.97172
 	HD175535  	G7IIIa      	 5143	  43	 2.74	 0.11	-0.03	 0.10	0 	HD175535  	283.30644	+50.70822
 	HD175545  	K2III       	 4511	  20	 2.92	 0.07	 0.11	 0.04	0 	HD175545  	283.96437	-00.73948
 	HD175588  	M4II        	 3333	   7	 0.48	 0.11	-0.04	 0.05	0 	HD175588  	283.62618	+36.89861
O	HD175640  	B9III       	11515	 179	 4.02	 0.06	 0.18	 0.08	0 	HD175640  	284.09442	-01.79986
 	HD175743  	K1III       	 4708	  28	 2.64	 0.09	 0.03	 0.06	0 	HD175743  	284.02551	+18.10541
 	HD175751  	K2III       	 4749	  26	 2.66	 0.08	 0.02	 0.06	0 	HD175751  	284.26529	-05.84631
 	HD176301  	B7III-IV    	14428	 265	 3.75	 0.10	 0.14	 0.09	0 	HD176301  	284.68773	+19.79439
 	HD176318  	B7IV        	13657	 273	 3.70	 0.16	 0.12	 0.14	0 	HD176318  	284.50791	+38.26619
 	HD176411  	K1III       	 4741	  30	 2.69	 0.09	 0.13	 0.06	0 	HD176411  	284.90566	+15.06830
O	HD176437  	B9III       	11163	 170	 4.06	 0.06	 0.15	 0.09	0 	HD176437  	284.73593	+32.68956
 	HD176582  	B5IV        	16308	 303	 3.61	 0.09	 0.10	 0.08	0 	HD176582  	284.80122	+39.21732
 	HD176819  	B2IV-V      	20461	 632	 3.80	 0.09	-0.05	 0.07	0 	HD176819  	285.34396	+20.83284
 	HD177178  	A4V         	 7854	  55	 3.99	 0.06	-0.15	 0.07	0 	HD177178  	285.88439	+01.81877
 	HD177196  	A7V         	 7801	  49	 3.97	 0.05	-0.11	 0.06	0 	HD177196  	285.35988	+46.93481
 	HD177249  	G5.5IIb     	 5238	  30	 2.48	 0.07	-0.03	 0.07	0 	HD177249  	285.18106	+55.65830
 	HD177724  	A0Vn        	 9975	 242	 3.85	 0.13	-0.52	 0.16	0 	HD177724  	286.35253	+13.86348
 	HD177756  	B9Vn        	11239	 182	 3.89	 0.10	-0.08	 0.11	0 	HD177756  	286.56224	-04.88255
 	HD177817  	B7V         	12786	 201	 4.14	 0.07	 0.16	 0.08	0 	HD177817  	286.71715	-16.22928
 	HD177940  	M7IIIevar   	 3092	  23	 0.59	 0.54	-1.00	 0.00	0 	HD177940  	286.59272	+08.23000
 	HD178125  	B8III       	12287	 163	 4.18	 0.05	 0.13	 0.08	0 	HD178125  	286.74418	+11.07123
 	HD178187  	A4III       	 8176	  63	 3.77	 0.07	-0.03	 0.06	0 	HD178187  	286.65999	+24.25079
O	HD178266  	K5          	 4381	  34	 2.68	 0.15	 0.10	 0.08	0 	HD178266  	286.98554	-01.28147
 	HD178329  	B3V         	17571	 399	 3.78	 0.07	-0.05	 0.05	0 	HD178329  	286.57098	+41.41378
 	HD178717  	K3.5III:    	 4071	  37	 1.13	 0.25	-0.13	 0.12	0 	HD178717  	287.34170	+10.24117
 	HD179588  	B9IV        	11165	 225	 4.05	 0.06	 0.00	 0.10	0 	HD179588  	288.14356	+16.84642
 	HD179761  	B8II-III    	14325	 254	 3.66	 0.07	 0.14	 0.07	0 	HD179761  	288.42793	+02.29371
 	HD180006  	G8III       	 4996	  27	 2.73	 0.07	 0.17	 0.06	0 	HD180006  	287.91905	+56.85921
 	HD180028  	F6Ib        	 6287	  38	 1.65	 0.07	 0.14	 0.07	0 	HD180028  	288.68630	+06.04855
 	HD180163  	B2.5IV      	18946	 401	 3.69	 0.06	 0.02	 0.04	0 	HD180163  	288.43953	+39.14597
 	HD180554  	B4IV        	16787	 287	 3.74	 0.07	 0.00	 0.06	0 	HD180554  	289.05433	+21.39043
 	HD180610  	K2III       	 4539	  20	 2.79	 0.07	 0.06	 0.04	0 	HD180610  	288.47977	+57.70510
 	HD180711  	G9III       	 4872	  25	 2.61	 0.07	-0.17	 0.06	0 	HD180711  	288.13875	+67.66154
 	HD180890  	G5          	 5580	  28	 4.40	 0.06	 0.20	 0.05	0 	HD180890  	289.40722	+19.16092
 	HD180928  	K4III       	 4074	  16	 2.04	 0.12	-0.57	 0.07	0 	HD180928  	289.75040	-15.53657
 	HD180968  	B0.5IV      	24093	1595	 3.44	 0.11	-0.08	 0.10	0 	HD180968  	289.43182	+23.02554
 	HD181096  	F6IV:       	 6318	  34	 4.03	 0.05	-0.20	 0.05	0 	HD181096  	289.21411	+46.99910
 	HD181276  	G9III       	 5012	  25	 2.87	 0.06	 0.04	 0.05	0 	HD181276  	289.27570	+53.36846
 	HD182293  	K3IVp       	 4445	  20	 2.89	 0.08	 0.01	 0.05	0 	HD182293  	290.80090	+20.27794
 	HD182490  	A2III-IV    	 8548	  92	 3.69	 0.10	 0.05	 0.07	0 	HD182490  	291.09197	+16.93772
 	HD182568  	B3IV        	18634	 345	 3.72	 0.08	 0.00	 0.05	0 	HD182568  	291.03158	+29.62134
 	HD182572  	G8IV...     	 5542	  30	 4.03	 0.06	 0.37	 0.05	0 	HD182572  	291.24250	+11.94442
 	HD182761  	A0V         	 9806	 213	 3.83	 0.12	-0.44	 0.14	0 	HD182761  	291.34330	+20.27173
 	HD182762  	K0III       	 4894	  37	 2.63	 0.10	-0.10	 0.08	0 	HD182762  	291.36918	+19.79837
O	HD183085  	F0          	 7138	  45	 3.93	 0.06	-0.11	 0.06	0 	HD183085  	291.92121	+04.70972
 	HD183144  	B4III       	16482	 300	 3.77	 0.12	 0.06	 0.09	0 	HD183144  	291.89128	+14.28248
