Miles,Name,Teff,[Fe/H],logg
394,HD 94028,6076,-1.3,4.23
395,BD-10 3166,5329,0.42,4.38
396,HD 95128,5852,0.02,4.24
397,HD 95578,3864,0.07,1.25
398,HD 95735,3550,-0.4,4.82
399,BD+44 2051A,3600,-0.45,4.9
400,HD 96360,3340,-0.02,0.79
401,BD+36 2165,6144,-1.45,4.18
402,HD 97560,5328,-1.04,2.69
403,HD 97633,9201,-0.16,3.68
404,HD 97907,4310,-0.12,2.09
405,HD 97916,6478,-0.73,4.28
406,HD 97855,6416,-0.39,4.18
407,HD 98468,4528,-0.36,2.06
408,HD 98553,5832,-0.44,4.27
409,HD 99109,5242,0.4,4.29
410,HD 233832,4970,-0.59,4.49
411,HD 99648,4977,-0.03,2.24
412,HD 99747,6738,-0.46,4.19
413,HD 99998,4001,-0.24,1.56
414,HD 100906,5042,-0.46,2.31
415,HD 101227,5534,-0.32,4.52
416,HD 101501,5535,0.03,4.52
417,HD 101606,6362,-0.57,4.13
418,HD 102224,4477,-0.33,2.06
419,BD+51 1696,5656,-1.3,4.28
420,HD 102328,4407,0.32,2.66
421,HD 102634,6281,0.22,4.15
422,HD 102870,6081,0.14,4.07
423,HD 103095,5165,-1.21,4.74
424,HD 103578,8509,-0.19,3.8
425,HD 103877,7170,0.65,3.76
426,HD 103932,4414,0.08,4.55
427,HD 104307,4459,-0.01,2.3
428,HD 104304,5485,0.3,4.23
429,HD 104833,7588,0.49,3.51
430,HD 105262,8500,-1.87,1.5
431,HD 105452,7041,-0.19,4.13
432,HD 105546,5131,-1.46,2.36
433,HD 105740,4798,-0.55,2.74
434,HD 106038,6014,-1.25,4.18
435,CD-28 09374,4995,-0.76,3.11
436,HD 106516,6207,-0.69,4.25
437,HD 107113,6543,-0.42,4.19
438,HD 107213,6209,0.24,4.0
439,BD+17 2473,5283,-1.04,3.37
440,BD+31 2360,4765,-0.7,2.45
441,HD 108177,6278,-1.41,4.19
442,HD 108564,4675,-0.87,4.66
443,HD 108915,5037,-0.1,3.32
444,HD 109443,6758,-0.6,4.17
445,HD 109871,3979,-0.15,1.77
446,HD 109995,8550,-1.66,2.39
447,HD 110014,4494,0.32,2.49
448,HD 110379,6857,-0.19,4.17
449,HD 110897,5851,-0.53,4.28
450,HD 110885,5545,-1.06,2.99
451,HD 112028,9443,-0.39,2.88
452,HD 111631,3877,-0.26,4.59
453,HD 111786,8080,-1.5,3.88
454,HD 111980,5876,-1.02,4.04
455,HD 112127,4428,0.29,2.55
456,HD 112413,12303,0.9,4.09
457,HD 113092,4273,-0.69,1.43
458,HD 113022,6491,0.11,4.09
460,HD 114038,4607,0.04,2.38
461,HD 114330,9570,-0.13,3.95
462,HD 114606,5584,-0.53,4.15
463,HD 114710,5994,0.05,4.35
464,HD 114642,6491,-0.04,4.04
465,HD 114946,4999,-0.36,3.12
466,HD 115383,6047,0.17,4.24
467,HD 115589,5227,0.28,4.39
468,HD 115617,5539,0.02,4.35
469,HD 115659,5104,0.04,2.64
470,HD 116114,8226,0.67,4.1
471,HD 116316,6487,-0.51,4.26
472,HD 116544,4451,0.22,3.18
473,HD 117200,6843,0.03,4.02
474,HD 117176,5467,-0.1,3.86
475,HD 117635,5175,-0.42,4.48
476,HD 117876,4745,-0.44,2.36
477,HD 118055,4384,-1.82,0.86
478,HD 118100,4313,-0.16,4.55
479,HD 118244,6391,-0.46,4.19
480,BD+30 2431,13069,0.28,4.12
481,HD 119228,3684,0.0,1.02
482,HD 119288,6595,-0.23,4.18
483,HD 119291,4295,0.02,4.59
484,HD 119667,3711,-0.03,1.16
485,HD 120136,6386,0.24,4.15
486,HD 121130,3448,0.05,0.8
487,HD 120933,3529,-0.09,0.98
488,HD 121370,5967,0.28,3.78
489,HD 121299,4740,0.14,2.64
490,HD 121258,5730,-0.2,4.4
491,BD+34 2476,6200,-2.05,3.96
492,HD 122106,6321,0.16,3.84
493,HD 122563,4600,-2.7,1.3
494,HD 122742,5485,0.03,4.35
495,HD 123299,10371,-0.19,3.95
496,HD 122956,4709,-1.68,1.54
497,HD 123657,3261,-0.02,0.59
498,HD 123821,4900,-0.13,2.28
499,HD 124186,4419,0.3,2.66
500,HD 124292,5398,-0.11,4.35
501,HD 124897,4280,-0.53,1.7
502,HD 124850,6207,-0.06,3.86
503,HD 125184,5536,0.24,3.85
504,HD 125451,6700,0.01,4.12
505,BD+01 2916,4282,-1.89,0.74
506,HD 126141,6699,-0.05,4.14
507,HD 126053,5598,-0.37,4.22
509,HD 126218,5137,0.24,2.7
510,HD 126660,6293,0.02,4.13
511,HD 126614,5399,0.52,4.02
512,HD 126778,4832,-0.52,2.41
513,HD 126681,5577,-1.12,4.25
514,HD 127243,4903,-0.78,2.27
515,HD 127334,5579,0.2,4.1
516,BD+18 2890,5024,-1.54,2.31
517,HD 128167,6777,-0.39,4.18
518,HD 128429,6427,-0.08,4.22
519,HD 128801,10200,-1.4,3.5
520,CD-26 10417,4668,-0.13,4.67
521,HD 128959,5857,-0.51,3.84
522,HD 129174,12052,0.18,3.99
523,HD 130095,8900,-1.7,3.35
524,HD 130322,5391,0.12,4.52
525,HD 130817,6749,-0.29,4.14
526,HD 130705,4430,0.38,2.64
527,HD 130694,4131,-0.58,1.76
528,HD 131430,4311,0.17,2.22
529,HD 132142,5163,-0.37,4.38
530,HD 131918,4154,0.0,1.65
531,HD 131976,3663,-0.97,4.74
532,HD 131977,4507,-0.04,4.59
533,HD 132345,4467,0.39,2.58
534,HD 132475,5823,-1.37,3.93
535,HD 132933,3805,-0.5,1.23
536,HD 133124,4026,0.06,1.88
537,BD+06 2986,3897,-0.83,4.66
538,BD+30 2611,4379,-1.43,1.0
539,HD 134063,4880,-0.69,2.31
540,HD 134083,6573,-0.01,4.17
541,HD 134169,5807,-0.81,3.99
542,HD 134440,5011,-1.21,4.77
543,HD 134439,5172,-1.27,4.68
544,HD 134987,5623,0.26,4.09
545,HD 136064,6083,0.03,3.94
